Customers with highest no. of transactions,,,,Customers bringing maximum revenue,,,,Part numbers with maximum revenue,,,,Part numbers with maximum margin,,
Row Labels,Count of custname,,,Row Labels,Sum of revenue,,,Row Labels,Sum of revenue,,,Row Labels,Sum of margin,
I.C.M.,7,,,HI-TEMP FABRICATION INC.,175379.9,,,766542300,264232.8,,,734761300,148707.63,
ESTERLINE,7,,,TRACHTE BUILDING SYSTEMS,174987.08,,,768122200,264011.53,,,723960000,145258.62,
GHX,7,,,CHRISTY INDUSTRIAL SERVIC,172489.52,,,734211200,262409.38,,,764901005,142697.78,
ASK CHEMICALS HI-TECH LLC,7,,,ACS INDUSTRIES INC.,170094,,,791107850,260962.02,,,733490500,142485.57,
ADVANCE THERMAL CORP,7,,,INDUSTRIAL TECHNOLOGIES,169985.14,,,727000042,260329.6,,,740402402,142311.09,
4-STATE SUPPLY,7,,,SCOT FORGE CO,167138,,,764821161,258698.1,,,733030800,140987.28,
BOATWRIGHT DISTRIBUTION,7,,,HI TEMP INSULATION INC,165768.65,,,733201000,257289.26,,,732830000,135914.86,
AJAX-TOCCO MAGNETHERMIC,7,,,FUELCELL ENERGY,162383.12,,,739561100,257084.09,,,764827010,134374.87,
DANSER INC,7,,,AGIS,156631.32,,,733030800,255496.5,,,765501001,134218,
SPECIALTY PRODUCTS &,6,,,SEALING DEVICES INC,152922.29,,,726020047,251827.92,,,734361300,132028.56,
VAN PACKER COMPANY,6,,,HUSSONG MANUFACTURING,147979.68,,,764341000,250423.84,,,733505200,131125.65,
"WELCO ELECTRONICS, INC.",6,,,ALLIED MINERAL PRODUCTS I,146419.97,,,733571500,249551.25,,,740283401,130937.84,
TIGHITCO LATINOAMERICA,6,,,MESSIER-BUGATTI USA LLC,140679.67,,,764605020,249546,,,793060300,129314.02,
TRISTATE INDUSTRIAL,6,,,MOUNTAINVIEW MECHANICAL,129824.4,,,793060300,245217.88,,,740283502,129144.34,
